,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4187,5,3833,41,1,,0,46,229221,,0,0,0,5,0,39,233698,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,280,1,1,1,10
1,4133,5,3877,17,1,,0,43,239377,,0,0,1,5,-999999,9,243770,5,221,243991,smallwinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,290,2,1,2,2
2,4346,5,3654,46,1,,0,16,249382,,0,0,1,5,-999999,13,253992,5,180,254172,bigwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,3,1,3,10
3,4449,4,3561,47,1,,0,21,259354,,0,0,1,4,-999999,27,264081,4,229,264310,nowinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,290,4,1,4,0
4,4430,4,3590,18,1,,0,19,269409,,0,0,1,4,-999999,13,274103,4,202,274305,bigwinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,280,5,1,5,10
5,4331,5,3699,20,1,,0,49,279432,,0,0,1,5,-999999,11,284025,5,220,284245,nowinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,270,6,1,6,0
6,4290,4,3750,11,1,,0,30,289470,,0,0,1,4,-999999,3,294014,4,165,294179,smallwinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,260,7,1,7,2
7,4278,4,3772,23,1,,0,6,299409,,0,0,1,4,-999999,14,303952,4,213,304165,nowinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,250,8,1,8,0
8,4197,5,3853,34,1,,0,11,309431,,0,0,1,5,-999999,12,313891,5,179,314070,bigwinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,250,9,1,9,10
9,4001,5,4049,24,1,,0,16,319436,,0,0,1,5,-999999,7,323695,5,188,323883,nowinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,250,10,1,10,0
10,4389,4,3661,23,1,,0,9,329441,,0,0,1,4,-999999,4,334085,4,172,334257,smallwinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,250,11,1,11,2
11,4309,4,3741,16,1,,0,10,339430,,0,0,1,4,-999999,17,344007,4,191,344198,nowinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,250,12,1,12,0
12,4335,5,3715,44,1,,0,17,349435,,0,0,1,5,-999999,8,354029,5,143,354172,bigwinleft.bmp,left,TrialProc,TrialList,46,targetleft.bmp,left,250,13,1,13,10
13,4038,4,4012,40,1,,0,6,359407,,0,0,1,4,-999999,4,363700,4,166,363866,smallwinright.bmp,right,TrialProc,TrialList,48,targetright.bmp,right,250,14,1,14,2
14,4349,5,3701,18,1,,0,10,369396,,0,0,1,5,-999999,10,374006,5,186,374192,nowinleft.bmp,left,TrialProc,TrialList,48,targetleft.bmp,left,250,15,1,15,0
15,4229,5,3821,18,1,,0,15,379401,,0,0,1,5,-999999,13,383894,5,155,384049,smallwinleft.bmp,left,TrialProc,TrialList,50,targetleft.bmp,left,250,16,1,16,2
16,4303,4,3747,16,1,,0,15,389373,,0,0,1,4,-999999,6,393933,4,182,394115,nowinright.bmp,right,TrialProc,TrialList,50,targetright.bmp,right,250,17,1,17,0
17,4133,5,3917,47,1,,0,18,399362,,0,0,1,5,-999999,9,403755,5,185,403940,smallwinleft.bmp,left,TrialProc,TrialList,52,targetleft.bmp,left,250,18,1,18,2
18,4354,4,3696,37,1,,0,3,409384,,0,0,1,4,-999999,5,413994,4,181,414175,bigwinright.bmp,right,TrialProc,TrialList,62,targetright.bmp,right,250,19,1,19,10
